,match_id,runs_after_10_overs,wickets_left,final_score
290,548380,83,9,222
291,548381,86,10,190
292,597998,68,7,128
293,597999,59,7,156
294,598000,60,8,126
295,598001,73,9,165
296,598002,72,6,148
297,598003,38,5,99
298,598004,55,7,130
299,598005,63,8,144
300,598006,80,8,209
301,598048,62,8,161
302,598008,72,8,154
303,598009,72,9,145
304,598010,46,6,114
305,598011,72,8,183
306,598012,64,8,165
307,598013,76,9,180
308,598015,78,10,159
309,598016,70,8,157
310,598017,66,8,152
311,598018,42,5,119
312,598019,88,9,179
313,598020,60,9,169
314,598021,55,7,123
315,598022,65,6,119
316,598024,57,8,161
317,598025,77,10,185
318,598026,88,8,185
319,598027,128,10,263
320,598059,54,7,120
321,598029,81,8,159
322,598030,62,6,159
323,598031,72,8,149
324,598032,64,4,144
325,598033,97,9,194
326,598034,103,10,200
327,598035,68,8,164
328,598036,75,8,171
329,598037,59,8,174
330,598038,55,8,164
331,598039,60,8,129
332,598040,50,5,136
333,598041,69,9,186
334,598042,75,9,187
335,598043,69,8,132
336,598046,47,7,139
337,598047,92,10,178
338,598064,86,10,190
339,598049,55,7,154
340,598050,69,10,170
341,598051,91,9,223
342,598052,73,9,145
343,598053,66,8,152
344,598054,74,8,183
345,598055,58,8,112
346,598056,56,5,150
347,598057,54,8,115
348,598058,75,10,141
349,598060,87,9,178
350,598045,52,9,174
351,598062,71,8,168
352,598061,72,9,170
353,598063,81,9,166
354,598028,76,9,171
355,598065,48,7,136
356,598066,80,8,183
357,598067,74,8,172
358,598069,56,8,130
359,598070,69,9,192
360,598071,48,8,132
361,598072,65,7,165
362,598073,58,6,148
363,729279,63,9,163
364,729281,49,6,145
365,729283,102,10,205
366,729285,69,9,133
367,729287,63,7,115
368,729289,63,8,166
369,729291,85,8,191
370,729293,65,9,177
371,729295,77,9,193
372,729297,71,7,140
373,729299,82,8,150
374,729301,81,9,184
375,729303,57,8,141
376,729307,76,6,132
377,729309,49,6,125
378,729311,65,8,145
379,729313,69,5,124
380,729315,63,8,152
381,729317,71,8,172
382,733973,70,8,168
383,733975,71,7,152
384,733977,72,8,155
385,733979,76,9,170
386,733981,75,8,178
387,733983,85,6,187
388,733985,66,7,160
389,733987,69,8,231
390,733989,74,7,134
391,733991,107,7,198
392,733993,75,7,143
393,733995,57,9,157
394,733997,85,8,149
395,733999,57,7,190
396,734001,70,8,157
397,734003,84,9,148
398,734005,60,8,186
399,734007,72,9,205
400,734009,62,8,141
401,734011,86,9,201
402,734013,55,8,138
403,734015,77,7,142
404,734017,76,10,178
405,734019,84,9,164
406,734021,48,8,160
407,734023,59,9,154
408,734025,90,8,156
409,734027,86,7,195
410,734029,81,7,185
411,734033,83,8,179
412,734035,56,7,154
413,734037,78,8,160
414,734041,59,9,189
415,734043,72,7,163
416,734045,82,9,173
417,734047,109,10,226
418,734049,58,8,199
419,829705,57,7,168
420,829707,82,7,150
421,829709,73,7,162
422,829711,89,9,209
423,829713,77,10,177
424,829715,84,9,184
425,829717,87,8,177
426,829721,45,7,164
427,829725,73,9,165
428,829727,55,7,127
429,829729,62,6,183
430,829731,80,9,167
431,829733,77,7,155
432,829735,68,6,156
433,829737,83,9,209
434,829739,69,7,146
435,829741,90,10,191
436,829743,80,10,176
437,829745,81,8,181
438,829747,65,9,190
439,829749,73,7,130
440,829751,72,8,157
441,829753,97,9,192
442,829759,76,7,150
443,829765,73,7,134
444,829763,83,8,200
445,829723,88,5,165
446,829767,46,4,118
447,829769,81,8,187
448,829773,107,8,192
449,829775,96,10,172
450,829777,74,9,189
451,829779,68,8,148
452,829781,77,9,167
453,829783,69,7,152
454,829785,104,10,226
455,829761,72,8,171
456,829787,88,9,201
457,829789,67,7,158
458,829791,75,9,183
459,829793,62,8,163
460,829795,88,9,235
461,829797,60,8,157
462,829799,86,9,185
463,829801,46,7,119
464,829805,67,7,171
465,829809,56,5,130
466,829811,107,9,199
467,829813,91,9,187
468,829815,54,5,113
469,829817,86,10,187
470,829819,60,8,180
471,829821,46,7,139
472,829823,98,9,202
473,980901,48,5,121
474,980905,87,9,161
475,980907,88,9,227
476,980909,81,9,187
477,980911,87,9,163
478,980913,58,6,111
479,980915,52,6,142
480,980917,59,7,143
481,980919,76,8,152
482,980921,97,9,191
483,980923,58,7,142
484,980925,56,8,138
485,980927,89,9,170
486,980929,74,7,135
487,980931,79,9,185
488,980933,65,7,164
489,980935,65,6,143
490,980937,76,8,180
491,980939,61,9,160
492,980941,77,9,189
493,980943,39,5,118
494,980945,110,10,172
495,980947,87,8,174
496,980949,79,9,195
497,980951,70,7,186
498,980953,82,9,194
499,980957,93,8,159
500,980959,79,9,185
501,980961,65,7,149
502,980963,74,10,164
503,980965,69,7,162
504,980967,54,6,126
505,980969,89,9,191
506,980971,76,8,181
507,980973,85,9,177
508,980975,57,6,158
509,980977,73,7,175
510,980979,63,9,137
511,980981,60,8,151
512,980983,80,9,146
513,980985,45,7,124
514,980987,76,9,248
515,980991,77,9,179
516,980993,84,9,206
517,980995,87,9,183
518,980997,49,7,121
519,981001,55,6,124
520,981003,68,7,158
521,981005,76,8,172
522,981007,72,7,172
523,981009,85,7,171
524,981011,75,7,138
525,981013,58,7,158
526,981015,71,7,162
527,981017,67,7,162
528,981019,97,8,208
529,1082591,88,9,207
530,1082592,82,7,184
531,1082593,91,8,183
532,1082594,63,7,163
533,1082595,61,7,157
534,1082596,60,6,135
535,1082597,79,7,178
536,1082598,53,7,148
537,1082599,81,8,205
538,1082600,75,10,158
539,1082601,95,8,170
540,1082602,66,9,142
541,1082603,92,7,171
542,1082604,75,8,172
543,1082605,83,8,188
544,1082606,75,9,176
545,1082607,79,8,161
546,1082608,83,8,168
547,1082609,53,7,159
548,1082610,92,10,213
549,1082611,80,9,191
550,1082612,69,9,198
551,1082613,96,9,187
552,1082614,67,6,142
553,1082615,65,9,176
554,1082616,88,8,188
555,1082618,84,9,160
556,1082620,83,9,182
557,1082621,61,5,134
558,1082622,78,9,160
559,1082623,107,9,207
560,1082624,67,8,157
561,1082625,70,6,153
562,1082627,123,10,209
563,1082628,80,8,162
564,1082630,83,8,185
565,1082631,59,6,155
566,1082632,93,8,208
567,1082633,55,7,138
568,1082634,51,8,148
569,1082635,84,9,212
570,1082636,63,7,158
571,1082637,81,9,189
572,1082638,59,7,138
573,1082639,63,7,167
574,1082640,91,7,195
575,1082641,126,9,230
576,1082642,85,7,168
577,1082644,79,8,173
578,1082646,66,9,161
579,1082647,63,8,162
580,1082648,61,9,128
581,1082650,56,7,129
582,1136561,65,8,165
583,1136562,77,8,166
584,1136563,82,8,176
585,1136564,71,7,125
586,1136565,89,5,202
587,1136567,78,6,147
588,1136569,107,9,194
589,1136570,70,8,138
590,1136571,76,8,217
591,1136572,115,9,197
592,1136573,85,8,200
593,1136574,95,8,213
594,1136575,71,8,160
595,1136576,82,9,193
596,1136577,107,9,204
597,1136578,86,7,191
598,1136579,58,8,174
599,1136580,54,8,182
600,1136581,93,9,167
601,1136582,68,7,143
602,1136584,87,9,205
603,1136585,57,7,132
604,1136586,84,9,219
605,1136587,91,9,169
606,1136588,70,9,151
607,1136589,75,8,175
608,1136590,96,10,211
609,1136591,82,8,167
610,1136593,90,9,177
611,1136594,78,9,174
612,1136595,68,7,127
613,1136596,95,9,163
614,1136597,95,9,181
615,1136598,81,8,152
616,1136599,61,7,146
617,1136600,82,8,158
618,1136601,72,8,210
619,1136602,52,7,187
620,1136603,88,9,176
621,1136604,106,9,245
622,1136605,78,8,181
623,1136606,62,9,179
624,1136607,86,10,168
625,1136610,79,6,186
626,1136611,84,8,218
627,1136612,77,9,162
628,1136613,74,9,164
629,1136614,92,9,172
630,1136615,83,7,174
631,1136617,64,6,139
632,1136618,63,6,169
633,1136619,79,8,174
634,1136620,73,8,178
635,1175357,92,10,181
636,1175358,82,8,213
637,1175359,68,8,184
638,1175360,65,9,147
639,1175361,89,8,218
640,1175362,82,9,187
641,1175363,75,9,198
642,1175364,91,8,176
643,1175365,64,5,185
644,1175366,105,10,231
645,1175367,55,7,175
646,1175368,85,7,166
647,1175369,73,8,158
648,1175370,57,7,170
649,1175371,56,7,129
650,1175372,78,9,205
651,1178393,71,9,160
652,1178394,52,7,136
653,1178395,63,8,149
654,1178396,56,9,139
655,1178397,50,9,150
656,1178398,47,5,108
657,1178399,93,10,197
658,1178400,74,6,151
659,1178401,72,8,178
660,1178402,92,10,187
661,1178403,90,8,173
662,1178404,77,9,161
663,1178405,87,7,155
664,1178406,70,8,171
665,1178407,75,8,182
666,1178408,80,9,132
667,1178409,75,7,168
668,1178410,70,8,213
669,1178411,81,9,161
670,1178412,92,7,163
671,1178413,80,6,159
672,1178414,74,8,161
673,1178415,95,9,191
674,1178416,91,9,175
